period_dt,broad_group,bloc,qty
2017-01-01,Gallium/Germanium,Adversary,261339.895
2017-01-01,Gallium/Germanium,Intermediary,31852.615
2017-01-01,Graphite,Adversary,13365581.319
2017-01-01,Graphite,Intermediary,2521387.968
2017-01-01,Polysilicon,Adversary,0.0
2017-01-01,Polysilicon,Intermediary,0.0
2017-01-01,Rare Earths,Adversary,1902529.749
2017-01-01,Rare Earths,Intermediary,1136419.012
2017-02-01,Gallium/Germanium,Adversary,264950.779
2017-02-01,Gallium/Germanium,Intermediary,25938.732
2017-02-01,Graphite,Adversary,10548805.715
2017-02-01,Graphite,Intermediary,1342549.147
2017-02-01,Polysilicon,Adversary,0.0
2017-02-01,Polysilicon,Intermediary,0.0
2017-02-01,Rare Earths,Adversary,1182928.158
2017-02-01,Rare Earths,Intermediary,783845.623
2017-03-01,Gallium/Germanium,Adversary,315401.65099999995
2017-03-01,Gallium/Germanium,Intermediary,37665.387
2017-03-01,Graphite,Adversary,14353812.203
2017-03-01,Graphite,Intermediary,3291392.686
2017-03-01,Polysilicon,Adversary,0.0
2017-03-01,Polysilicon,Intermediary,0.0
2017-03-01,Rare Earths,Adversary,1929767.3199999998
2017-03-01,Rare Earths,Intermediary,1234527.638
2017-04-01,Gallium/Germanium,Adversary,254650.542
2017-04-01,Gallium/Germanium,Intermediary,30026.824
2017-04-01,Graphite,Adversary,13309429.336
2017-04-01,Graphite,Intermediary,3119082.773
2017-04-01,Polysilicon,Adversary,0.0
2017-04-01,Polysilicon,Intermediary,0.0
2017-04-01,Rare Earths,Adversary,1953209.707
2017-04-01,Rare Earths,Intermediary,1192768.28
2017-05-01,Gallium/Germanium,Adversary,249777.056
2017-05-01,Gallium/Germanium,Intermediary,11280.271
2017-05-01,Graphite,Adversary,15254230.003
2017-05-01,Graphite,Intermediary,3298728.138
2017-05-01,Polysilicon,Adversary,0.0
2017-05-01,Polysilicon,Intermediary,0.0
2017-05-01,Rare Earths,Adversary,2102326.017
2017-05-01,Rare Earths,Intermediary,1335244.828
2017-06-01,Gallium/Germanium,Adversary,238295.225
2017-06-01,Gallium/Germanium,Intermediary,34239.574
2017-06-01,Graphite,Adversary,14822380.455
2017-06-01,Graphite,Intermediary,3254214.729
2017-06-01,Polysilicon,Adversary,0.0
2017-06-01,Polysilicon,Intermediary,0.0
2017-06-01,Rare Earths,Adversary,2050014.883
2017-06-01,Rare Earths,Intermediary,1178797.9100000001
2017-07-01,Gallium/Germanium,Adversary,382438.288
2017-07-01,Gallium/Germanium,Intermediary,26495.047
2017-07-01,Graphite,Adversary,15756918.322
2017-07-01,Graphite,Intermediary,3372416.0670000003
2017-07-01,Polysilicon,Adversary,0.0
2017-07-01,Polysilicon,Intermediary,0.0
2017-07-01,Rare Earths,Adversary,1872012.307
2017-07-01,Rare Earths,Intermediary,1185676.977
2017-08-01,Gallium/Germanium,Adversary,250825.88
2017-08-01,Gallium/Germanium,Intermediary,13950.060000000001
2017-08-01,Graphite,Adversary,15871885.921
2017-08-01,Graphite,Intermediary,2830588.026
2017-08-01,Polysilicon,Adversary,0.0
2017-08-01,Polysilicon,Intermediary,0.0
2017-08-01,Rare Earths,Adversary,2106592.568
2017-08-01,Rare Earths,Intermediary,1299803.034
2017-09-01,Gallium/Germanium,Adversary,282638.85199999996
2017-09-01,Gallium/Germanium,Intermediary,36884.756
2017-09-01,Graphite,Adversary,15264642.404000001
2017-09-01,Graphite,Intermediary,2796443.203
2017-09-01,Polysilicon,Adversary,0.0
2017-09-01,Polysilicon,Intermediary,0.0
2017-09-01,Rare Earths,Adversary,1880330.561
2017-09-01,Rare Earths,Intermediary,1241470.834
2017-10-01,Gallium/Germanium,Adversary,344547.882
2017-10-01,Gallium/Germanium,Intermediary,9199.736
2017-10-01,Graphite,Adversary,16009098.822
2017-10-01,Graphite,Intermediary,2767650.761
2017-10-01,Polysilicon,Adversary,0.0
2017-10-01,Polysilicon,Intermediary,0.0
2017-10-01,Rare Earths,Adversary,2136709.946
2017-10-01,Rare Earths,Intermediary,1267203.069
