period_dt,broad_group,yoy_growth_pct
2017-01-01,Gallium/Germanium,
2017-02-01,Gallium/Germanium,
2017-03-01,Gallium/Germanium,
2017-04-01,Gallium/Germanium,
2017-05-01,Gallium/Germanium,
2017-06-01,Gallium/Germanium,
2017-07-01,Gallium/Germanium,
2017-08-01,Gallium/Germanium,
2017-09-01,Gallium/Germanium,
2017-10-01,Gallium/Germanium,
2017-11-01,Gallium/Germanium,
2017-12-01,Gallium/Germanium,
2018-01-01,Gallium/Germanium,
2018-02-01,Gallium/Germanium,
2018-03-01,Gallium/Germanium,91.42730113388056
2018-04-01,Gallium/Germanium,105.11005597085905
2018-05-01,Gallium/Germanium,104.67078646699264
2018-06-01,Gallium/Germanium,97.76045678949947
2018-07-01,Gallium/Germanium,91.96032682240373
2018-08-01,Gallium/Germanium,95.01133327275916
2018-09-01,Gallium/Germanium,104.46278600331978
2018-10-01,Gallium/Germanium,96.7631269745408
2018-11-01,Gallium/Germanium,74.61285740994107
2018-12-01,Gallium/Germanium,62.43648821096713
2019-01-01,Gallium/Germanium,59.524106365657495
2019-02-01,Gallium/Germanium,42.88428951248997
2019-03-01,Gallium/Germanium,19.3784151759597
2019-04-01,Gallium/Germanium,-7.17623131179823
2019-05-01,Gallium/Germanium,-18.344246935020944
2019-06-01,Gallium/Germanium,-19.15093358312943
2019-07-01,Gallium/Germanium,-23.509162569351663
2019-08-01,Gallium/Germanium,-24.307699456648976
2019-09-01,Gallium/Germanium,-28.475258353650812
2019-10-01,Gallium/Germanium,-24.72965894305238
2019-11-01,Gallium/Germanium,-28.299814404146463
2019-12-01,Gallium/Germanium,-17.51963692394901
2020-01-01,Gallium/Germanium,-20.347926294682733
2020-02-01,Gallium/Germanium,-25.163290831727817
2020-03-01,Gallium/Germanium,-1.5130949145813162
2020-04-01,Gallium/Germanium,20.83784390905898
2020-05-01,Gallium/Germanium,35.969041367243896
2020-06-01,Gallium/Germanium,2.5234167422596605
2020-07-01,Gallium/Germanium,-6.399765663518849
2020-08-01,Gallium/Germanium,-15.911462660711388
2020-09-01,Gallium/Germanium,-9.129848322968934
2020-10-01,Gallium/Germanium,-6.664472771566086
2020-11-01,Gallium/Germanium,9.338510226240876
2020-12-01,Gallium/Germanium,9.435503456834695
2021-01-01,Gallium/Germanium,28.2396627661181
2021-02-01,Gallium/Germanium,73.66209107690263
2021-03-01,Gallium/Germanium,72.2021842447814
2021-04-01,Gallium/Germanium,65.23251893615482
2021-05-01,Gallium/Germanium,41.926627921736525
2021-06-01,Gallium/Germanium,83.55594281184034
2021-07-01,Gallium/Germanium,110.4418366157365
2021-08-01,Gallium/Germanium,134.60947970030907
2021-09-01,Gallium/Germanium,133.1441538704952
2021-10-01,Gallium/Germanium,115.85453066454029
2021-11-01,Gallium/Germanium,87.88820969029327
2021-12-01,Gallium/Germanium,73.5361271240861
2022-01-01,Gallium/Germanium,62.540988339880904
2022-02-01,Gallium/Germanium,47.71547660270983
2022-03-01,Gallium/Germanium,29.956536337301817
2022-04-01,Gallium/Germanium,33.29424568847278
2022-05-01,Gallium/Germanium,39.9272985895803
2022-06-01,Gallium/Germanium,52.68618465619357
2022-07-01,Gallium/Germanium,44.435728513059445
2022-08-01,Gallium/Germanium,35.913656872990636
2022-09-01,Gallium/Germanium,17.619404700118814
2022-10-01,Gallium/Germanium,8.019247377030796
2022-11-01,Gallium/Germanium,1.6360615123765168
2022-12-01,Gallium/Germanium,11.465645004892103
2023-01-01,Gallium/Germanium,14.800735668062524
2023-02-01,Gallium/Germanium,25.92236683868903
2023-03-01,Gallium/Germanium,28.690080551099033
2023-04-01,Gallium/Germanium,25.243781400686093
2023-05-01,Gallium/Germanium,10.907228699622173
2023-06-01,Gallium/Germanium,-7.6158273876422795
2023-07-01,Gallium/Germanium,-9.06579460487869
2023-08-01,Gallium/Germanium,-6.941914756304069
2023-09-01,Gallium/Germanium,-1.0819390466038532
2023-10-01,Gallium/Germanium,-6.374074349941018
2023-11-01,Gallium/Germanium,-2.0855463867532045
2023-12-01,Gallium/Germanium,-12.44168848581011
2024-01-01,Gallium/Germanium,-15.840100649268981
2024-02-01,Gallium/Germanium,-28.27607347094468
2024-03-01,Gallium/Germanium,-30.75326673605043
2024-04-01,Gallium/Germanium,-28.546932872943202
2024-05-01,Gallium/Germanium,-26.870247936977304
2024-06-01,Gallium/Germanium,-23.20640597773809
2024-07-01,Gallium/Germanium,-31.274344178715506
2024-08-01,Gallium/Germanium,-34.392490838092385
2024-09-01,Gallium/Germanium,-38.028280629451665
2024-10-01,Gallium/Germanium,-26.925035852184696
2024-11-01,Gallium/Germanium,-19.981580427280196
2024-12-01,Gallium/Germanium,-7.7612277582275295
2017-01-01,Graphite,
2017-02-01,Graphite,
2017-03-01,Graphite,
2017-04-01,Graphite,
2017-05-01,Graphite,
2017-06-01,Graphite,
2017-07-01,Graphite,
2017-08-01,Graphite,
2017-09-01,Graphite,
2017-10-01,Graphite,
2017-11-01,Graphite,
2017-12-01,Graphite,
2018-01-01,Graphite,
2018-02-01,Graphite,
2018-03-01,Graphite,56.78515074093141
2018-04-01,Graphite,49.54412874943356
2018-05-01,Graphite,42.71593758166742
2018-06-01,Graphite,45.682708189024446
2018-07-01,Graphite,53.838507200054586
2018-08-01,Graphite,47.442944873569125
2018-09-01,Graphite,53.32638513353201
2018-10-01,Graphite,51.08944957894363
2018-11-01,Graphite,51.75962977927648
2018-12-01,Graphite,35.943826105084035
2019-01-01,Graphite,20.07889276340477
2019-02-01,Graphite,18.65893836651881
2019-03-01,Graphite,20.99582577927298
2019-04-01,Graphite,23.586258651491885
2019-05-01,Graphite,20.323179079586538
2019-06-01,Graphite,12.349604815647327
2019-07-01,Graphite,5.733572123115624
2019-08-01,Graphite,11.791226586525838
2019-09-01,Graphite,0.8548883895314555
2019-10-01,Graphite,-3.753276255975866
2019-11-01,Graphite,-14.776190541023864
2019-12-01,Graphite,-11.039611520930729
2020-01-01,Graphite,-8.170554246547859
2020-02-01,Graphite,-18.42610213977363
2020-03-01,Graphite,-14.937199751784656
2020-04-01,Graphite,3.320950893577302
2020-05-01,Graphite,7.327264814607457
2020-06-01,Graphite,-2.4744405331885253
