period_dt,broad_group,Adversary,Intermediary
2017-01-01,Gallium/Germanium,61572809.0,6981210.0
2017-01-01,Graphite,33276140.0,5211593.0
2017-01-01,Polysilicon,6659035.0,866922.0
2017-01-01,Rare Earths,103998037.0,51774898.0
2017-02-01,Gallium/Germanium,49595042.0,4709153.0
2017-02-01,Graphite,23445338.0,2686015.0
2017-02-01,Polysilicon,9617376.0,2702981.0
2017-02-01,Rare Earths,66676319.0,33939780.0
2017-03-01,Gallium/Germanium,74600275.0,6967772.0
2017-03-01,Graphite,30148752.0,5776293.0
2017-03-01,Polysilicon,11598744.0,363437.0
2017-03-01,Rare Earths,115058956.0,54726003.0
2017-04-01,Gallium/Germanium,66551494.0,7226113.0
2017-04-01,Graphite,29553475.0,5556724.0
2017-04-01,Polysilicon,4834705.0,9044.0
2017-04-01,Rare Earths,116041107.0,53221098.0
2017-05-01,Gallium/Germanium,72776578.0,8617120.0
2017-05-01,Graphite,33490079.0,5839164.0
2017-05-01,Polysilicon,4293354.0,433291.0
2017-05-01,Rare Earths,117801670.0,58407997.0
2017-06-01,Gallium/Germanium,85648455.0,9105053.0
2017-06-01,Graphite,32622316.0,6155108.0
2017-06-01,Polysilicon,7276684.0,1865085.0
2017-06-01,Rare Earths,116617111.0,52353304.0
2017-07-01,Gallium/Germanium,84209260.0,8450914.0
2017-07-01,Graphite,33738353.0,6724344.0
2017-07-01,Polysilicon,7301601.0,3099987.0
2017-07-01,Rare Earths,103171120.0,52363624.0
2017-08-01,Gallium/Germanium,78945500.0,7750077.0
2017-08-01,Graphite,37286376.0,5216290.0
2017-08-01,Polysilicon,11040643.0,9459861.0
2017-08-01,Rare Earths,118928044.0,56815747.0
2017-09-01,Gallium/Germanium,86136456.0,6738611.0
2017-09-01,Graphite,33250992.0,5539411.0
2017-09-01,Polysilicon,6202296.0,8969486.0
2017-09-01,Rare Earths,116122016.0,54883791.0
2017-10-01,Gallium/Germanium,100452697.0,7374325.0
2017-10-01,Graphite,38971428.0,5760381.0
2017-10-01,Polysilicon,6754474.0,8696147.0
2017-10-01,Rare Earths,121504210.0,55638808.0
2017-11-01,Gallium/Germanium,120072987.0,10213740.0
2017-11-01,Graphite,40908849.0,8276969.0
2017-11-01,Polysilicon,6245168.0,18437618.0
2017-11-01,Rare Earths,131928298.0,69209647.0
2017-12-01,Gallium/Germanium,101226843.0,7149192.0
2017-12-01,Graphite,41674764.0,6109853.0
2017-12-01,Polysilicon,5039483.0,1467084.0
2017-12-01,Rare Earths,148794774.0,68518005.0
2018-01-01,Gallium/Germanium,104194455.0,8360525.0
2018-01-01,Graphite,51850767.0,7759178.0
2018-01-01,Polysilicon,6530319.0,3052976.0
2018-01-01,Rare Earths,131118433.0,61893662.0
2018-02-01,Gallium/Germanium,112372858.0,7092918.0
