period_dt,broad_group,total_value,total_qty,unit_price
2017-01-01,Gallium/Germanium,68554019.0,293192.51,233.81913473846927
2017-01-01,Graphite,38487733.0,15886969.287,2.4225975580813746
2017-01-01,Polysilicon,7525957.0,0.0,inf
2017-01-01,Rare Earths,155772935.0,3038948.761,51.25882245830995
2017-02-01,Gallium/Germanium,54304195.0,290889.511,186.68323520266085
2017-02-01,Graphite,26131353.0,11891354.862,2.1975084675595142
2017-02-01,Polysilicon,12320357.0,0.0,inf
2017-02-01,Rare Earths,100616099.0,1966773.781,51.15794199210956
2017-03-01,Gallium/Germanium,81568047.0,353067.038,231.0270804718961
2017-03-01,Graphite,35925045.0,17645204.889,2.0359664410808644
2017-03-01,Polysilicon,11962181.0,0.0,inf
2017-03-01,Rare Earths,169784959.0,3164294.958,53.6564894403248
2017-04-01,Gallium/Germanium,73777607.0,284677.366,259.16218081067956
2017-04-01,Graphite,35110199.0,16428512.109000001,2.1371502645553426
2017-04-01,Polysilicon,4843749.0,0.0,inf
2017-04-01,Rare Earths,169262205.0,3145977.987,53.80273024777525
2017-05-01,Gallium/Germanium,81393698.0,261057.327,311.78476748901977
2017-05-01,Graphite,39329243.0,18552958.141,2.11983677756954
2017-05-01,Polysilicon,4726645.0,0.0,inf
2017-05-01,Rare Earths,176209667.0,3437570.8449999997,51.25993759700973
2017-06-01,Gallium/Germanium,94753508.0,272534.799,347.674896371674
2017-06-01,Graphite,38777424.0,18076595.184,2.145173004389829
2017-06-01,Polysilicon,9141769.0,0.0,inf
2017-06-01,Rare Earths,168970415.0,3228812.793,52.332056961098644
2017-07-01,Gallium/Germanium,92660174.0,408933.335,226.589925714909
2017-07-01,Graphite,40462697.0,19129334.389,2.1152171935092206
2017-07-01,Polysilicon,10401588.0,0.0,inf
2017-07-01,Rare Earths,155534744.0,3057689.284,50.866759030706014
2017-08-01,Gallium/Germanium,86695577.0,264775.94,327.4299658798303
2017-08-01,Graphite,42502666.0,18702473.947,2.2725691863250908
2017-08-01,Polysilicon,20500504.0,0.0,inf
2017-08-01,Rare Earths,175743791.0,3406395.602,51.59230210866154
2017-09-01,Gallium/Germanium,92875067.0,319523.608,290.6673080631964
2017-09-01,Graphite,38790403.0,18061085.607,2.1477337433673345
2017-09-01,Polysilicon,15171782.0,0.0,inf
2017-09-01,Rare Earths,171005807.0,3121801.395,54.777926383750625
2017-10-01,Gallium/Germanium,107827022.0,353747.618,304.8134220934881
2017-10-01,Graphite,44731809.0,18776749.583,2.3822977881378926
2017-10-01,Polysilicon,15450621.0,0.0,inf
2017-10-01,Rare Earths,177143018.0,3403913.015,52.04099435543302
2017-11-01,Gallium/Germanium,130286727.0,275609.343,472.7224613717105
2017-11-01,Graphite,49185818.0,23190172.004,2.1209768513798037
2017-11-01,Polysilicon,24682786.0,0.0,inf
2017-11-01,Rare Earths,201137945.0,3862971.551,52.0681921532484
2017-12-01,Gallium/Germanium,108376035.0,283984.575,381.6264844666299
2017-12-01,Graphite,47784617.0,20290861.491,2.3549821687558627
2017-12-01,Polysilicon,6506567.0,0.0,inf
2017-12-01,Rare Earths,217312779.0,4247089.815,51.167455473272106
2018-01-01,Gallium/Germanium,112554980.0,11468927.898,9.813905972817896
2018-01-01,Graphite,59609945.0,52596984.0,1.1333338999057436
2018-01-01,Polysilicon,9583295.0,227353.0,42.15161005132987
2018-01-01,Rare Earths,193012095.0,11463344.082,16.837328934675522
2018-02-01,Gallium/Germanium,119465776.0,9933934.0,12.026028761616496
2018-02-01,Graphite,43267519.0,31946970.0,1.3543543879122182
2018-02-01,Polysilicon,11475442.0,401857.68200000003,28.555985150981883
2018-02-01,Rare Earths,177997141.0,11704078.139,15.208129925831829
2018-03-01,Gallium/Germanium,155064037.0,12563513.605,12.342410083297713
2018-03-01,Graphite,53850940.0,38332335.0,1.404843717451598
2018-03-01,Polysilicon,8004762.0,185056.491,43.2557753405148
2018-03-01,Rare Earths,181008235.0,9531856.594,18.989819372013937
2018-04-01,Gallium/Germanium,151415722.0,12150154.0,12.462041386471315
