partner_name,mean_pre,sem_pre,mean_post,sem_post,net_change_kg,net_change_se,broad_group
Australia,35883.412333333334,14874.827844077796,34521.1065,9324.75080917192,-1362.305833333332,17555.952866310174,Gallium/Germanium
Austria,3797.5395000000003,3263.8134549726105,3310.5,2131.748136311292,-487.0395000000003,3898.3109657295063,Gallium/Germanium
Belgium,119804.24166666665,19909.971943005083,187679.94666666666,54818.084602244584,67875.705,58321.77451201304,Gallium/Germanium
Brazil,198677.9825,62166.577223762506,277187.15400000004,50703.92621269727,78509.17150000003,80222.01354429267,Gallium/Germanium
Canada,73519.81283333333,16033.29735201663,28116.344500000003,10943.576716449406,-45403.46833333332,19412.070866525217,Gallium/Germanium
Czech Republic,1.4,0.4,1203.2,799.3004066056767,1201.8,799.3005066931962,Gallium/Germanium
Egypt,833.0,293.0,1513.2252,670.6116590956647,680.2252000000001,731.825797109558,Gallium/Germanium
France,263733.6655,56934.69296258438,260210.41283333334,35200.93278071454,-3523.252666666667,66937.76909470571,Gallium/Germanium
Germany,289919.27150000003,78751.65436495752,542818.3338333333,154897.10242747862,252899.0623333333,173766.89962604077,Gallium/Germanium
Hong Kong,603719.1666666666,85102.40526934464,899614.2601666666,54572.915705329695,295895.09349999996,101097.09447461287,Gallium/Germanium
Hungary,38266.666666666664,6391.383088016066,47470.647,4393.393699477545,9203.980333333333,7755.751799560554,Gallium/Germanium
India,823740.5683333334,77938.19671854086,765648.6986666666,93434.53719653492,-58091.869666666724,121673.23143924732,Gallium/Germanium
Indonesia,10483.244333333334,6591.879705524217,20344.725166666667,7526.165837475907,9861.480833333333,10004.801360611387,Gallium/Germanium
Iran,1075.0,925.0,78000.0,72000.0,76925.0,72005.94159512116,Gallium/Germanium
Italy,134774.63916666666,23954.538713711885,138085.05866666665,20278.978333100888,3310.419499999989,31385.61592865586,Gallium/Germanium
Japan,1342162.23,106222.13846727408,667258.9865,75336.14518384536,-674903.2435,130225.48702816271,Gallium/Germanium
Kazakhstan,32733.951666666664,16451.929111171212,46006.0,14483.257295926218,13272.048333333336,21918.72973917519,Gallium/Germanium
Malaysia,75750.82549999999,9446.354503896693,32583.666666666668,3877.843375440071,-43167.15883333332,10211.331091377548,Gallium/Germanium
Mexico,131482.62,14914.190174487563,205705.66666666666,34675.86315932805,74223.04666666666,37747.166177148,Gallium/Germanium
Netherlands,790822.3448333334,95302.55465094274,496597.70916666667,53914.326488135324,-294224.6356666667,109495.80596381388,Gallium/Germanium
New Zealand,30695.6,24826.24509183779,10902.0,5772.348222344179,-19793.6,25488.476795603146,Gallium/Germanium
Philippines,2608.5764999999997,1244.645181602204,1470.75,774.8116303334637,-1137.8264999999997,1466.108689894983,Gallium/Germanium
Poland,78920.0,28034.18186191041,152031.8255,57383.19347301818,73111.8255,63865.06279515039,Gallium/Germanium
Russia,108175.72366666667,31543.61782889024,29690.3495,13901.646970070979,-78485.37416666668,34471.08374007939,Gallium/Germanium
Singapore,17584.142,6354.82443245791,51208.306500000006,17930.836676958002,33624.164500000006,19023.63523365359,Gallium/Germanium
South Africa,2626.0,376.0,14751.5,6535.818088298766,12125.5,6546.624632841977,Gallium/Germanium
South Korea,16756504.070833333,874959.015756032,14572774.351333333,986805.3314792871,-2183729.7194999997,1318839.6572323376,Gallium/Germanium
Spain,171717.9545,22451.46586100761,149364.6991666667,32571.143515759748,-22353.255333333305,39559.4199809882,Gallium/Germanium
Sweden,21897.293833333333,14108.193766566128,9034.666666666666,9004.076882785437,-12862.627166666667,16736.622474862917,Gallium/Germanium
Taiwan,63877.00683333334,26709.35166782305,153900.371,54539.706836269295,90023.36416666667,60728.651296580276,Gallium/Germanium
Thailand,30317.5,5614.918846252366,37382.7805,3813.269920080112,7065.280500000001,6787.366288435286,Gallium/Germanium
Turkey,20771.673666666666,7204.310399084711,16366.576166666666,7484.376065369958,-4405.0975,10388.357589833091,Gallium/Germanium
UAE,20105.0,7827.223486013415,12062.4,1323.2713478346004,-8042.6,7938.291665087646,Gallium/Germanium
USA,340645.89166666666,70381.32212211203,276840.2046666667,44120.64989196244,-63805.686999999976,83067.21525695696,Gallium/Germanium
United Kingdom,108480.10933333333,23028.198855847106,86522.7085,19568.659991472137,-21957.400833333333,30219.702123056744,Gallium/Germanium
Vietnam,157435.16666666666,34477.75359021782,190804.5,36701.05156872211,33369.33333333334,50355.56254156811,Gallium/Germanium
Australia,183343.5,31291.592513804728,219944.16666666666,58039.31914166273,36600.66666666666,65937.29087912073,Graphite
Belgium,1144338.0,615043.1666086536,276933.6666666667,93537.58231130654,-867404.3333333333,622115.2434208991,Graphite
Brazil,200861.0,62597.87435528462,233262.5,66882.64940264155,32401.5,91606.67369202239,Graphite
Canada,238438.66666666666,62908.66335710669,119566.33333333333,67211.46932166992,-118872.33333333333,92059.11977504214,Graphite
Czech Republic,222871.33333333334,44961.9620128442,110278.0,26431.827082767722,-112593.33333333334,52155.72366459676,Graphite
Egypt,77000.0,39102.42959203431,98206.16666666667,33749.89735334185,21206.16666666667,51653.22421070258,Graphite
France,77139.83333333333,37930.851003210795,59312.166666666664,22249.400161827085,-17827.666666666664,43974.82535939044,Graphite
Germany,4380871.666666667,761743.4083560187,1862936.5,553742.9411961685,-2517935.166666667,941745.3292150843,Graphite
Hong Kong,518850.5,230802.7593311007,1206.25,413.36714411444615,-517644.25,230803.12950054606,Graphite
Hungary,3695246.5,406443.72107732616,2458283.6666666665,691862.8380106213,-1236962.8333333335,802415.5313946101,Graphite
India,8055269.333333333,1081802.1997271855,5872243.333333333,359511.6636092786,-2183026.0,1139975.7171122937,Graphite
Indonesia,752683.8333333334,92318.12068292864,953287.8333333334,211985.53234586815,200604.0,231215.2705389263,Graphite
Iran,162700.0,68765.76182956167,3725667.5,554711.8253858634,3562967.5,558957.9046966924,Graphite
Italy,483306.8333333333,85618.04048657684,289558.0,59606.44375960259,-193748.8333333333,104323.42495541343,Graphite
Japan,8826936.166666666,1364606.5089073705,6977547.833333333,658466.1122937367,-1849388.333333333,1515166.177418038,Graphite
Kazakhstan,22218.0,21838.247273991565,50945.5,49945.5,28727.5,54511.1182626994,Graphite
Malaysia,770689.8333333334,224720.0882345882,485595.1666666667,212960.69052330081,-285094.6666666667,309598.7302369346,Graphite
