partner_name,subgroup,mean_pre,sem_pre,mean_post,sem_post,net_change_kg,pct_change,broad_group
Australia,Ga/Ge Compounds,32933.666666666664,15974.504319209545,34512.77316666667,9324.55586185906,1579.106500000009,4.794809263064167,Gallium/Germanium
Australia,Unwrought Ga/Ge,5.0,0.0,5.25,1.8427786989579984,0.25,5.0,Gallium/Germanium
Australia,Wrought Ga/Ge,4422.1185,2552.6871807389402,14.5,5.5,-4407.6185,-99.67210286201059,Gallium/Germanium
Austria,Ga/Ge Compounds,3795.0395000000003,3264.2688499918195,3310.5,2131.748136311292,-484.5395000000003,-12.76770637038166,Gallium/Germanium
Belgium,Ga/Ge Compounds,118702.24166666665,19635.5634233207,186740.94666666666,54637.52314396073,68038.705,57.31880379400306,Gallium/Germanium
Belgium,Wrought Ga/Ge,1202.4,321.93253951721005,1408.5,718.2081290730889,206.0999999999999,17.140718562874245,Gallium/Germanium
Brazil,Ga/Ge Compounds,197677.13600000003,61489.63300102106,276183.3333333333,50346.79730606285,78506.19733333329,39.71435388123656,Gallium/Germanium
Brazil,Unwrought Ga/Ge,3000.5,2999.5,6020.0,0.0,3019.5,100.63322779536743,Gallium/Germanium
Brazil,Wrought Ga/Ge,2.0395,1.7755,0.9746666666666667,0.025333333333333336,-1.064833333333333,-52.21050911171038,Gallium/Germanium
Canada,Ga/Ge Compounds,60557.8775,15487.094403911695,17039.666666666668,9622.196144563071,-43518.21083333333,-71.86217983504018,Gallium/Germanium
Canada,Unwrought Ga/Ge,11419.6,4504.9732585221855,4784.2,960.5827606198229,-6635.400000000001,-58.10536270972714,Gallium/Germanium
Canada,Wrought Ga/Ge,3445.6020000000003,3314.05098337505,8507.813400000001,4774.136083640637,5062.2114,146.91805379727546,Gallium/Germanium
Czech Republic,Ga/Ge Compounds,1.6666666666666667,0.6666666666666667,1502.5,956.8184693730224,1500.8333333333333,90049.99999999999,Gallium/Germanium
Czech Republic,Unwrought Ga/Ge,1.0,0.0,1.5,0.5,0.5,50.0,Gallium/Germanium
Czech Republic,Wrought Ga/Ge,1.0,0.0,1.5,0.5,0.5,50.0,Gallium/Germanium
Egypt,Ga/Ge Compounds,833.0,293.0,1513.2252,670.6116590956647,680.2252000000001,81.65968787515007,Gallium/Germanium
France,Ga/Ge Compounds,263728.9988333333,56934.22329700301,260126.51566666667,35251.64928810119,-3602.4831666666432,-1.3659791614130667,Gallium/Germanium
France,Unwrought Ga/Ge,3.0,0.0,2.0,1.0,-1.0,-33.33333333333333,Gallium/Germanium
France,Wrought Ga/Ge,4.75,2.056493779875511,99.8766,96.80069509182256,95.1266,2002.6652631578947,Gallium/Germanium
Germany,Ga/Ge Compounds,285960.8761666667,78171.34340073421,537452.7091666666,155119.44132044015,251491.83299999993,87.94623809077395,Gallium/Germanium
Germany,Unwrought Ga/Ge,1562.5803333333333,590.6543185778896,3658.4421666666663,1175.3837261555739,2095.861833333333,134.128261352323,Gallium/Germanium
Germany,Wrought Ga/Ge,2395.815,653.0643871173295,1707.1825,810.1133262119876,-688.6325000000002,-28.743141686649437,Gallium/Germanium
Hong Kong,Ga/Ge Compounds,595381.1666666666,86666.26162870097,844991.4268333333,48069.185381685566,249610.2601666667,41.924446747979665,Gallium/Germanium
Hong Kong,Unwrought Ga/Ge,14353.666666666666,14323.667830242055,60479.4,30315.275625664366,46125.73333333334,321.35157102714754,Gallium/Germanium
Hong Kong,Wrought Ga/Ge,1393.4,441.95855009265296,5068.0,4993.791735745494,3674.6,263.71465480120565,Gallium/Germanium
Hungary,Ga/Ge Compounds,38266.666666666664,6391.383088016066,47466.666666666664,4389.887368841154,9200.0,24.041811846689896,Gallium/Germanium
India,Ga/Ge Compounds,814680.9983333334,74573.19153402535,726748.3435,92267.75030070035,-87932.65483333345,-10.793507521744736,Gallium/Germanium
India,Unwrought Ga/Ge,1154.7058000000002,962.8673043330738,10297.0,5988.034596871777,9142.2942,791.7422948771886,Gallium/Germanium
India,Wrought Ga/Ge,8097.315166666667,3866.7910027131493,28603.355166666664,6197.266710613372,20506.039999999997,253.2449284475794,Gallium/Germanium
Indonesia,Ga/Ge Compounds,9645.911,6715.879547901694,20342.89183333333,7527.055704108751,10696.980833333331,110.8965325652842,Gallium/Germanium
Indonesia,Unwrought Ga/Ge,12.0,0.0,10.0,0.0,-2.0,-16.666666666666664,Gallium/Germanium
Indonesia,Wrought Ga/Ge,2506.0,2500.0,1.0,0.0,-2505.0,-99.96009577015164,Gallium/Germanium
Iran,Ga/Ge Compounds,1075.0,925.0,150000.0,0.0,148925.0,13853.488372093023,Gallium/Germanium
Italy,Ga/Ge Compounds,134554.4725,23939.43672063966,136815.392,20344.8076675581,2260.919499999989,1.6803005191819165,Gallium/Germanium
Italy,Unwrought Ga/Ge,2.0,0.0,525.0,0.0,523.0,26150.0,Gallium/Germanium
Italy,Wrought Ga/Ge,329.75,316.82996885816635,1418.6,822.1703351495966,1088.85,330.20470053070505,Gallium/Germanium
Japan,Ga/Ge Compounds,1334765.1666666667,106309.29467530632,661032.9795,75222.16393525402,-673732.1871666667,-50.47570943503046,Gallium/Germanium
Japan,Unwrought Ga/Ge,2307.9208,755.697866154616,3256.1308,1103.3825604515598,948.21,41.08503203402821,Gallium/Germanium
Japan,Wrought Ga/Ge,5473.795999999999,816.5423847843623,3512.5646666666667,565.1837773497907,-1961.2313333333327,-35.82945607277533,Gallium/Germanium
Kazakhstan,Ga/Ge Compounds,26067.285,15011.253346558318,60000.0,0.0,33932.715,130.17356813339018,Gallium/Germanium
Kazakhstan,Unwrought Ga/Ge,3200.0,0.0,25015.0,12778.0,21815.0,681.71875,Gallium/Germanium
Kazakhstan,Wrought Ga/Ge,16800.0,0.0,20000.0,0.0,3200.0,19.047619047619047,Gallium/Germanium
Malaysia,Ga/Ge Compounds,74580.67233333334,9517.282091767984,29820.333333333332,4324.226934121031,-44760.33900000001,-60.01600361008636,Gallium/Germanium
Malaysia,Unwrought Ga/Ge,1105.22975,455.28047430684137,1895.0,314.6823795511913,789.77025,71.45756346135272,Gallium/Germanium
Malaysia,Wrought Ga/Ge,2600.0,0.0,3000.0,0.0,400.0,15.384615384615385,Gallium/Germanium
Mexico,Ga/Ge Compounds,131478.58316666668,14911.820417722873,205689.33333333334,34677.14788509061,74210.75016666666,56.443223207383234,Gallium/Germanium
Mexico,Wrought Ga/Ge,12.1105,11.8895,23.5,8.986100377805714,11.3895,94.04648858428637,Gallium/Germanium
Netherlands,Ga/Ge Compounds,775816.0115,97246.53388729156,480375.20916666667,52539.58300543585,-295440.80233333335,-38.081297363548074,Gallium/Germanium
Netherlands,Unwrought Ga/Ge,12311.666666666666,3255.491173045594,12885.0,2759.0442185655525,573.3333333333339,4.656829565452828,Gallium/Germanium
Netherlands,Wrought Ga/Ge,3233.6,2040.5183557125872,6675.0,3325.0,3441.4,106.42627412172192,Gallium/Germanium
New Zealand,Ga/Ge Compounds,22695.6,21528.326580577508,902.0,2.0000000000000044,-21793.6,-96.02566136167363,Gallium/Germanium
New Zealand,Wrought Ga/Ge,20000.0,0.0,20000.0,0.0,0.0,0.0,Gallium/Germanium
Philippines,Ga/Ge Compounds,2608.409833333333,1244.6936012382168,961.0,825.2126998538014,-1647.4098333333332,-63.15763007334162,Gallium/Germanium
Philippines,Wrought Ga/Ge,1.0,0.0,3000.0,0.0,2999.0,299900.0,Gallium/Germanium
Poland,Ga/Ge Compounds,78730.66666666667,27990.843963299456,152013.5,57376.238456786275,73282.83333333333,93.08041762633789,Gallium/Germanium
Poland,Wrought Ga/Ge,212.0,149.5025083401613,36.651,32.24763139105465,-175.349,-82.71179245283018,Gallium/Germanium
Russia,Ga/Ge Compounds,105862.39649999999,31406.42088791206,27764.682833333336,13626.073064589373,-78097.71366666665,-73.7728563198233,Gallium/Germanium
Russia,Unwrought Ga/Ge,1700.2,702.196582162004,750.0,144.33756729740645,-950.2,-55.887542642042106,Gallium/Germanium
Russia,Wrought Ga/Ge,896.4938333333333,174.39016177877633,1425.6666666666667,686.1545825184811,529.1728333333334,59.02693511741949,Gallium/Germanium
Singapore,Ga/Ge Compounds,9176.0,3217.218809261606,13838.166666666666,5483.040825531435,4662.166666666666,50.80826794536472,Gallium/Germanium
Singapore,Unwrought Ga/Ge,20700.0,17800.0,70730.66666666667,11857.720021619294,50030.66666666667,241.69404186795495,Gallium/Germanium
Singapore,Wrought Ga/Ge,2262.2129999999997,1100.046239347389,2405.7678,1122.3587117391837,143.55480000000034,6.34576850190501,Gallium/Germanium
South Africa,Ga/Ge Compounds,2626.0,376.0,14751.5,6535.818088298766,12125.5,461.7479055597867,Gallium/Germanium
South Korea,Ga/Ge Compounds,16725576.9705,873097.7219188317,14537261.561333334,985847.4298318155,-2188315.4091666657,-13.083646758651982,Gallium/Germanium
South Korea,Unwrought Ga/Ge,30565.333333333332,3365.4954629461486,32367.397,2463.517457733731,1802.0636666666687,5.895776260687496,Gallium/Germanium
South Korea,Wrought Ga/Ge,361.767,102.1021581469592,3145.393,1079.2000874331259,2783.626,769.4527140396996,Gallium/Germanium
Spain,Ga/Ge Compounds,170048.932,22151.313857504945,146030.7481666667,32359.614889646324,-24018.183833333314,-14.12427796567009,Gallium/Germanium
Spain,Unwrought Ga/Ge,10000.0,0.0,10000.0,0.0,0.0,0.0,Gallium/Germanium
Spain,Wrought Ga/Ge,4.711666666666667,2.763351970182429,3.706,0.0,-1.005666666666667,-21.34418111071808,Gallium/Germanium
Sweden,Ga/Ge Compounds,43751.185,22740.88909173426,18000.666666666668,17999.666666666668,-25750.51833333333,-58.8567334423818,Gallium/Germanium
Sweden,Wrought Ga/Ge,21.701333333333334,11.060687219959608,34.333333333333336,14.188414679276578,12.632000000000001,58.20840501351684,Gallium/Germanium
Taiwan,Ga/Ge Compounds,62577.84016666667,26769.980131749733,151966.20433333333,54605.593092358016,89388.36416666667,142.84347930288772,Gallium/Germanium
Taiwan,Unwrought Ga/Ge,498.6666666666667,180.7033788038041,1600.0,808.2903768654761,1101.3333333333333,220.85561497326202,Gallium/Germanium
Taiwan,Wrought Ga/Ge,800.5,400.18835148797956,1134.1666666666667,270.44610266085266,333.66666666666674,41.68228190714138,Gallium/Germanium
Thailand,Ga/Ge Compounds,30114.5,5537.324809869834,36105.44433333333,4039.714020083738,5990.944333333333,19.893886112448598,Gallium/Germanium
Thailand,Unwrought Ga/Ge,601.5,401.5,1167.0,726.2155327449283,565.5,94.0149625935162,Gallium/Germanium
Thailand,Wrought Ga/Ge,5.0,3.0,832.6034,797.4021032650717,827.6034,16552.068,Gallium/Germanium
Turkey,Ga/Ge Compounds,12256.031,4779.224402895063,12194.113166666668,7347.820368918357,-61.917833333332965,-0.5052029758519129,Gallium/Germanium
Turkey,Wrought Ga/Ge,8352.952,8325.463055448468,6258.6945,6248.102730589256,-2094.2574999999997,-25.07206434324057,Gallium/Germanium
UAE,Ga/Ge Compounds,14964.0,3516.1478922252404,8482.6,1938.4859452675946,-6481.4,-43.31328521785618,Gallium/Germanium
UAE,Wrought Ga/Ge,6426.25,6010.6261373088255,4474.75,3511.4490212968585,-1951.5,-30.3676327562731,Gallium/Germanium
USA,Ga/Ge Compounds,293596.64916666667,71229.90327625138,256866.02449999997,38496.822288841344,-36730.6246666667,-12.51057352695321,Gallium/Germanium
USA,Unwrought Ga/Ge,4488.0,757.2632743416696,4279.5,1059.1982738530749,-208.5,-4.64572192513369,Gallium/Germanium
USA,Wrought Ga/Ge,42561.2425,9174.45651228487,15694.680166666667,5911.2117327014,-26866.562333333335,-63.12447841092359,Gallium/Germanium
United Kingdom,Ga/Ge Compounds,100716.85716666667,23282.090512342573,76219.44583333333,20384.819353856372,-24497.411333333337,-24.3230498076354,Gallium/Germanium
United Kingdom,Unwrought Ga/Ge,6802.313166666667,1294.5528234902947,8655.333333333334,1247.369489944517,1853.0201666666671,27.24102994474013,Gallium/Germanium
United Kingdom,Wrought Ga/Ge,960.939,818.2167471539149,1647.9293333333335,765.3700066811549,686.9903333333335,71.49156536817983,Gallium/Germanium
Vietnam,Ga/Ge Compounds,157319.66666666666,34481.18570338194,190662.66666666666,36717.912956000706,33343.0,21.194425786985736,Gallium/Germanium
Vietnam,Wrought Ga/Ge,115.5,19.36276495407272,141.83333333333334,86.78456724044379,26.333333333333343,22.799422799422807,Gallium/Germanium
Australia,Artificial Graphite,169138.66666666666,30363.986363965963,206444.16666666666,59763.12129087451,37305.5,22.05616299052454,Graphite
Australia,Natural Graphite,14204.833333333334,6574.802980149122,27000.0,17387.7351409933,12795.166666666666,90.07614779007145,Graphite
Belgium,Artificial Graphite,254876.0,89249.04396873579,128500.5,28212.289785068257,-126375.5,-49.5831306203801,Graphite
Belgium,Natural Graphite,1016900.0,607925.1790585198,286900.0,154237.51165005224,-730000.0,-71.78680302881307,Graphite
Brazil,Artificial Graphite,200855.33333333334,62600.10022711181,223262.5,65717.00026971711,22407.166666666657,11.15587338150509,Graphite
Brazil,Natural Graphite,17.0,14.0,20000.0,0.0,19983.0,117547.05882352941,Graphite
Canada,Artificial Graphite,53320.833333333336,42322.61108471189,55136.166666666664,48795.34276644078,1815.3333333333285,3.4045479409236448,Graphite
Canada,Natural Graphite,185117.83333333334,59279.58003192255,77316.2,32008.959833771543,-107801.63333333335,-58.234061728250566,Graphite
Czech Republic,Artificial Graphite,216201.83333333334,47636.05591665251,108333.6,34020.71703183224,-107868.23333333334,-49.89237679914832,Graphite
Czech Republic,Natural Graphite,8003.4,4897.591751054798,40000.0,11547.005383792515,31996.6,399.7875902741335,Graphite
Egypt,Artificial Graphite,90750.0,60196.03392251021,90039.5,33062.92223800955,-710.5,-0.7829201101928375,Graphite
Egypt,Natural Graphite,19800.0,3152.7765540868895,24500.0,500.0,4700.0,23.737373737373737,Graphite
France,Artificial Graphite,72041.5,39238.28372966891,51118.833333333336,17713.150544941964,-20922.666666666664,-29.04251947372926,Graphite
France,Natural Graphite,7647.5,2616.3599873360954,16386.666666666668,14306.74122378833,8739.166666666668,114.27481747847882,Graphite
Germany,Artificial Graphite,3498824.6666666665,626349.608883445,1245567.6666666667,416287.6036199546,-2253257.0,-64.40039769545469,Graphite
