partner_name,mean_stock,sem_stock,mean_base,sem_base,ratio,ratio_error,broad_group
Australia,31846.158,14080.433337021177,38843.49033333333,10168.033781049864,0.819858301267829,0.42125896354182824,Gallium/Germanium
Austria,217.41233333333332,25.794773736381394,5422.396833333333,2634.224290045283,0.04009524570330691,0.02005092791809914,Gallium/Germanium
Belgium,105653.34933333333,37658.07637539877,144261.45016666668,22458.232360314832,0.7323740972468458,0.2848531587059221,Gallium/Germanium
Brazil,266176.5856666667,76706.25186175136,141121.2615,33959.027458276665,1.8861550898669277,0.7081322137116662,Gallium/Germanium
Canada,84021.82133333334,18166.785696243984,47925.9545,9131.261650309702,1.7531590598437292,0.5052325977515545,Gallium/Germanium
Czech Republic,1.0,0.0,675.6836666666667,471.96602517813125,0.0014799824967403384,0.0010337699293008573,Gallium/Germanium
Egypt,1126.0,,14321.8825,8665.3492327747,0.07862094944571707,,Gallium/Germanium
France,232034.79066666667,76108.83573758362,285351.68241666665,48441.899273200666,0.8131537501427891,0.30032487824865123,Gallium/Germanium
Germany,182609.29666666666,83640.82530424456,487689.4411666666,67936.9315279142,0.37443766719620325,0.17926081418796141,Gallium/Germanium
Hong Kong,777759.3333333334,62567.2699855479,360595.0833333333,29756.472281051814,2.156877254519786,0.2485665244520669,Gallium/Germanium
Hungary,29066.666666666668,10933.333333333334,34612.875,6095.14573081815,0.8397645866362349,0.3487761508290508,Gallium/Germanium
India,901118.4533333335,153396.58188864758,715914.843,71193.07713837735,1.2586950279690368,0.24814799937866996,Gallium/Germanium
Indonesia,5086.134333333333,1505.2949258727049,17073.233166666665,6840.389439063923,0.2979010644137028,0.14838732232078342,Gallium/Germanium
Iran,2000.0,,56442.5,56185.89953226699,0.03543429153563361,,Gallium/Germanium
Italy,159687.94499999998,24328.12695099979,147287.59966666668,21508.09972780431,1.0841913736213848,0.22879787760213796,Gallium/Germanium
Japan,1345152.2586666667,164454.0043068018,1899868.79075,146863.79269801846,0.7080237673337688,0.10241248499302816,Gallium/Germanium
Kazakhstan,49100.4275,2900.572500000002,21667.0,11666.357143513136,2.2661387132505655,1.2274991587945725,Gallium/Germanium
Malaysia,82666.64899999999,19901.92353552684,81031.844,14207.01409986025,1.0201748463233786,0.30383310400672897,Gallium/Germanium
Mexico,119808.66666666667,28603.33999339549,187024.06000000003,22039.675299333485,0.6406056347331283,0.17055622274246537,Gallium/Germanium
Netherlands,685775.5463333334,168605.60214036528,822034.4525,57854.742790005395,0.834241854763786,0.21334594835343193,Gallium/Germanium
New Zealand,44116.0,42341.88811724547,27696.5,15645.714986173416,1.5928366400086653,1.7739211343344912,Gallium/Germanium
Philippines,4283.152999999999,2221.953949284803,1863.2727272727273,780.0998431542313,2.2987257513661197,1.532414507791155,Gallium/Germanium
Poland,118993.33333333333,42499.15795374983,138606.02016666668,43794.951460778095,0.858500469101197,0.40938457777738696,Gallium/Germanium
Russia,143782.962,58428.599374310914,52973.288,10300.161642958095,2.714254059517695,1.222743653384022,Gallium/Germanium
Singapore,10422.666666666666,3467.687285657562,23125.85541666667,6602.574784044659,0.45069323832039143,0.19759045979832324,Gallium/Germanium
Slovakia,500.0,,52.5,7.5,9.523809523809524,,Gallium/Germanium
South Africa,3002.0,,20423.0,10403.566828256548,0.14699113744307887,,Gallium/Germanium
South Korea,17255667.247333333,595625.8688020702,13412444.418166667,895825.3625656542,1.2865415661265414,0.09672582855177705,Gallium/Germanium
Spain,174748.909,40989.36447859226,137540.33875,26279.623861162243,1.2705284179765772,0.38437686138893085,Gallium/Germanium
Sweden,18025.333333333332,17990.344042785226,15439.276300000001,8613.814069602819,1.16749859145492,1.3349321128011644,Gallium/Germanium
Taiwan,37555.0,7138.1959438875965,128064.34625,25044.0088191792,0.2932510187237222,0.07997247546887956,Gallium/Germanium
Thailand,36643.333333333336,6354.965547594347,27576.0,4550.081869060327,1.3288124939560972,0.3180907209761101,Gallium/Germanium
Turkey,24686.014,13700.91278986657,30420.75,13515.772576335667,0.8114860415998948,0.5769149234572072,Gallium/Germanium
UAE,24650.0,13264.39815194543,6815.752100000001,1384.3578601442978,3.6166221479798244,2.0801585872097172,Gallium/Germanium
USA,343653.35099999997,154810.5147820011,425472.3160833333,43739.436493209556,0.8076984988435577,0.3732096479840204,Gallium/Germanium
United Kingdom,93038.19900000001,13692.548222171885,84868.17108333333,15647.63163332697,1.0962672791504415,0.25862102226378864,Gallium/Germanium
Vietnam,212308.33333333334,44498.05697006456,104387.58333333333,24986.089960354828,2.03384661809235,0.6470743538360372,Gallium/Germanium
Australia,221200.0,26520.50397334108,190483.12583333332,22758.327195025427,1.161257717880706,0.19655548500865622,Graphite
Belgium,1828542.6666666667,1127947.5343710706,295961.3333333333,95882.21345384179,6.178316086335603,4.3047705731768,Graphite
Brazil,128826.33333333333,62652.68858379325,295803.5,40512.46639157863,0.4355132151354982,0.220043477774754,Graphite
Canada,377074.3333333333,10786.340317477676,52869.583333333336,14409.736207949889,7.132160110964874,1.9545648224064491,Graphite
Czech Republic,165072.0,40556.032551685,140388.5,38167.032986961116,1.175822805999067,0.43086142573849595,Graphite
Egypt,113333.33333333333,78952.16554626253,67958.72727272728,24737.353662056354,1.6676788674766054,1.310802810131144,Graphite
France,42645.0,16241.168071703874,208219.08333333334,47022.07536576745,0.20480831688097753,0.09068236164409105,Graphite
Germany,5611376.666666667,160636.3151763773,2876106.9166666665,369581.8561660096,1.9510320128050411,0.256854965543893,Graphite
Hong Kong,474039.3333333333,251814.64408325774,251887.75983333332,117500.96566138632,1.8819466799299462,1.3304570708590777,Graphite
Hungary,4235675.0,542501.6341526847,2511223.0833333335,269009.39175608096,1.6866980190297045,0.28163096400675125,Graphite
India,9377980.0,1643780.9586758614,6677390.583333333,382002.9857096443,1.4044378388479024,0.25895108683435236,Graphite
Indonesia,847873.3333333334,143399.73155871357,533671.25,49786.59614295693,1.5887558742078263,0.306871352358891,Graphite
Iran,275400.0,103664.65164172405,188975.55555555556,107264.79819057227,1.4573313420900997,0.992560933400053,Graphite
Italy,351628.0,39536.57581278379,453139.9166666667,81524.9405471667,0.7759810757494143,0.164629618890557,Graphite
Japan,9616791.666666666,2416495.0611305027,7484238.841583334,440755.7183170197,1.2849391728701403,0.33162675735124186,Graphite
Kazakhstan,560.0,,25632.444444444445,9992.60072797077,0.021847311566937734,,Graphite
Malaysia,1057778.6666666667,383673.0901780548,620600.25,177174.8004782764,1.7044444739857367,0.7867575996844002,Graphite
Mexico,413597.0,125166.66975277405,948625.5833333334,259421.62951634554,0.43599604234441985,0.17783671472866672,Graphite
